cty,name,hs_rA_gP_pall,hs_rA_gP_pall_l,hs_rA_gP_p100,hs_rA_gP_p100_l,hs_rA_gP_p75,hs_rA_gP_p75_l,hs_rA_gP_p25,hs_rA_gP_p25_l,hs_rA_gP_p1,hs_rA_gP_p1_l,hs_rA_gP_p50,hs_rA_gP_p50_l,hs_rA_gF_pall,hs_rA_gF_pall_l,hs_rA_gF_p100,hs_rA_gF_p100_l,hs_rA_gF_p75,hs_rA_gF_p75_l,hs_rA_gF_p25,hs_rA_gF_p25_l,hs_rA_gF_p1,hs_rA_gF_p1_l,hs_rA_gF_p50,hs_rA_gF_p50_l,hs_rA_gM_pall,hs_rA_gM_pall_l,hs_rA_gM_p100,hs_rA_gM_p100_l,hs_rA_gM_p75,hs_rA_gM_p75_l,hs_rA_gM_p25,hs_rA_gM_p25_l,hs_rA_gM_p1,hs_rA_gM_p1_l,hs_rA_gM_p50,hs_rA_gM_p50_l,hs_rP_gP_pall,hs_rP_gP_pall_l,hs_rP_gP_p100,hs_rP_gP_p100_l,hs_rP_gP_p75,hs_rP_gP_p75_l,hs_rP_gP_p25,hs_rP_gP_p25_l,hs_rP_gP_p1,hs_rP_gP_p1_l,hs_rP_gP_p50,hs_rP_gP_p50_l,hs_rP_gF_pall,hs_rP_gF_pall_l,hs_rP_gF_p100,hs_rP_gF_p100_l,hs_rP_gF_p75,hs_rP_gF_p75_l,hs_rP_gF_p25,hs_rP_gF_p25_l,hs_rP_gF_p1,hs_rP_gF_p1_l,hs_rP_gF_p50,hs_rP_gF_p50_l,hs_rP_gM_pall,hs_rP_gM_pall_l,hs_rP_gM_p100,hs_rP_gM_p100_l,hs_rP_gM_p75,hs_rP_gM_p75_l,hs_rP_gM_p25,hs_rP_gM_p25_l,hs_rP_gM_p1,hs_rP_gM_p1_l,hs_rP_gM_p50,hs_rP_gM_p50_l,hs_rB_gP_pall,hs_rB_gP_pall_l,hs_rB_gP_p100,hs_rB_gP_p100_l,hs_rB_gP_p75,hs_rB_gP_p75_l,hs_rB_gP_p25,hs_rB_gP_p25_l,hs_rB_gP_p1,hs_rB_gP_p1_l,hs_rB_gP_p50,hs_rB_gP_p50_l,hs_rB_gF_pall,hs_rB_gF_pall_l,hs_rB_gF_p100,hs_rB_gF_p100_l,hs_rB_gF_p75,hs_rB_gF_p75_l,hs_rB_gF_p25,hs_rB_gF_p25_l,hs_rB_gF_p1,hs_rB_gF_p1_l,hs_rB_gF_p50,hs_rB_gF_p50_l,hs_rB_gM_pall,hs_rB_gM_pall_l,hs_rB_gM_p100,hs_rB_gM_p100_l,hs_rB_gM_p75,hs_rB_gM_p75_l,hs_rB_gM_p25,hs_rB_gM_p25_l,hs_rB_gM_p1,hs_rB_gM_p1_l,hs_rB_gM_p50,hs_rB_gM_p50_l,hs_rW_gP_pall,hs_rW_gP_pall_l,hs_rW_gP_p100,hs_rW_gP_p100_l,hs_rW_gP_p75,hs_rW_gP_p75_l,hs_rW_gP_p25,hs_rW_gP_p25_l,hs_rW_gP_p1,hs_rW_gP_p1_l,hs_rW_gP_p50,hs_rW_gP_p50_l,hs_rW_gF_pall,hs_rW_gF_pall_l,hs_rW_gF_p100,hs_rW_gF_p100_l,hs_rW_gF_p75,hs_rW_gF_p75_l,hs_rW_gF_p25,hs_rW_gF_p25_l,hs_rW_gF_p1,hs_rW_gF_p1_l,hs_rW_gF_p50,hs_rW_gF_p50_l,hs_rW_gM_pall,hs_rW_gM_pall_l,hs_rW_gM_p100,hs_rW_gM_p100_l,hs_rW_gM_p75,hs_rW_gM_p75_l,hs_rW_gM_p25,hs_rW_gM_p25_l,hs_rW_gM_p1,hs_rW_gM_p1_l,hs_rW_gM_p50,hs_rW_gM_p50_l,hs_rH_gP_pall,hs_rH_gP_pall_l,hs_rH_gP_p100,hs_rH_gP_p100_l,hs_rH_gP_p75,hs_rH_gP_p75_l,hs_rH_gP_p25,hs_rH_gP_p25_l,hs_rH_gP_p1,hs_rH_gP_p1_l,hs_rH_gP_p50,hs_rH_gP_p50_l,hs_rH_gF_pall,hs_rH_gF_pall_l,hs_rH_gF_p100,hs_rH_gF_p100_l,hs_rH_gF_p75,hs_rH_gF_p75_l,hs_rH_gF_p25,hs_rH_gF_p25_l,hs_rH_gF_p1,hs_rH_gF_p1_l,hs_rH_gF_p50,hs_rH_gF_p50_l,hs_rH_gM_pall,hs_rH_gM_pall_l,hs_rH_gM_p100,hs_rH_gM_p100_l,hs_rH_gM_p75,hs_rH_gM_p75_l,hs_rH_gM_p25,hs_rH_gM_p25_l,hs_rH_gM_p1,hs_rH_gM_p1_l,hs_rH_gM_p50,hs_rH_gM_p50_l,hs_rNA_gP_pall,hs_rNA_gP_pall_l,hs_rNA_gP_p100,hs_rNA_gP_p100_l,hs_rNA_gP_p75,hs_rNA_gP_p75_l,hs_rNA_gP_p25,hs_rNA_gP_p25_l,hs_rNA_gP_p1,hs_rNA_gP_p1_l,hs_rNA_gP_p50,hs_rNA_gP_p50_l,hs_rNA_gF_pall,hs_rNA_gF_pall_l,hs_rNA_gF_p100,hs_rNA_gF_p100_l,hs_rNA_gF_p75,hs_rNA_gF_p75_l,hs_rNA_gF_p25,hs_rNA_gF_p25_l,hs_rNA_gF_p1,hs_rNA_gF_p1_l,hs_rNA_gF_p50,hs_rNA_gF_p50_l,hs_rNA_gM_pall,hs_rNA_gM_pall_l,hs_rNA_gM_p100,hs_rNA_gM_p100_l,hs_rNA_gM_p75,hs_rNA_gM_p75_l,hs_rNA_gM_p25,hs_rNA_gM_p25_l,hs_rNA_gM_p1,hs_rNA_gM_p1_l,hs_rNA_gM_p50,hs_rNA_gM_p50_l
cty46035,"Davison County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8844,0.9286,0.9504,0.9569,0.927,0.9461,0.8307,0.8925,0.7542,0.8493,0.8905,0.9255,0.9173,0.9589,0.9529,0.9837,0.9408,0.974,0.8893,0.9251,0.8421,0.8798,0.9218,0.9548,0.8549,0.8979,0.9511,0.9304,0.9164,0.9185,0.7768,0.8597,0.6789,0.8175,0.8628,0.8963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8856,0.9314,0.9467,0.9457,0.9242,0.9395,0.8376,0.908,0.7528,0.88,0.8887,0.9273,0.9177,0.9634,0.9453,0.9757,0.9348,0.9714,0.8924,0.9472,0.8448,0.9235,0.918,0.9619,0.856,0.8985,0.9452,0.9261,0.912,0.9156,0.787,0.8641,0.6787,0.822,0.8598,0.8957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6132,,0.5916,,0.5917,,0.5921,,0.5925,,0.5919,,,,,,,,,,,,,,,,,,,,,,,,
cty35055,"Taos County, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8887,0.8561,0.884,0.9429,0.8862,0.9231,0.8949,0.8246,0.9018,0.7453,0.8895,0.8852,0.9095,0.8899,0.9552,1.0,0.9456,0.9761,0.905,0.8488,0.8677,0.7309,0.9306,0.9261,0.8583,0.8185,0.7858,0.8871,0.8057,0.8729,0.8857,0.8026,0.9418,0.7521,0.8364,0.8463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8279,0.9391,1.0,1.0,0.9801,0.9854,0.7487,0.8629,0.5223,0.7538,0.8851,0.9378,,0.9695,,1.0,,0.9959,,0.8767,,0.7595,,0.9491,,0.9028,,1.0,,0.9745,,0.7975,,0.6531,,0.9063,0.8823,0.8564,0.829,0.9893,0.8426,0.9488,0.8895,0.8272,0.9125,0.7323,0.8609,0.8963,0.9252,0.8651,0.96,1.0,0.9498,0.975,0.9081,0.8415,0.8749,0.71,0.934,0.9179,0.8212,0.8435,0.7367,0.9611,0.7614,0.9262,0.8418,0.8052,0.8781,0.727,0.7945,0.8736,,0.6789,,0.5234,,0.5492,,0.6771,,0.7801,,0.5983,,0.8561,,0.9711,,0.9521,,0.8581,,0.7824,,0.916,,,,,,,,,,,,
cty38071,"Ramsey County, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.882,0.928,0.9397,0.9765,0.9184,0.9619,0.831,0.8896,0.7615,0.8314,0.8852,0.9341,0.8846,0.9426,0.9431,0.9888,0.9232,0.9739,0.8383,0.8985,0.7605,0.8287,0.8918,0.9443,0.8794,0.9182,0.9184,0.9698,0.9027,0.955,0.8394,0.8817,0.7951,0.8291,0.8784,0.9273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8975,0.9497,0.9195,0.9779,0.9102,0.969,0.8744,0.9232,0.8393,0.8824,0.8955,0.9512,0.8996,0.9509,0.9244,0.966,0.9132,0.9611,0.8677,0.9345,0.8168,0.9083,0.8952,0.9507,0.8975,0.9477,0.9135,0.9789,0.9057,0.967,0.8765,0.9083,0.8512,0.8605,0.8935,0.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4868,0.725,0.7376,0.6099,0.6539,0.6283,0.4768,0.7198,0.2785,0.7935,0.5907,0.6635,,,,,,,,,,,,,,0.6519,,0.3547,,0.4017,,0.6348,,0.8227,,0.4913
cty46071,"Jackson County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.904,0.8838,0.7658,1.0,0.7961,0.9965,0.9204,0.7968,1.0,0.6359,0.8432,0.9198,,0.8275,,0.9867,,0.946,,0.7398,,0.5488,,0.8651,,0.9236,,1.0,,1.0,,0.8311,,0.6941,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9883,,1.0,,1.0,,0.9694,,0.9421,,0.9881,,,,,,,,,,,,,,0.9954,,1.0,,1.0,,0.9094,,0.8146,,0.9809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty46137,"Ziebach County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7866,0.8143,0.9735,1.0,0.9459,1.0,0.833,0.7842,0.7432,0.5931,0.9031,0.9302,,0.8273,,1.0,,1.0,,0.7983,,0.6007,,0.9278,,0.805,,1.0,,1.0,,0.7574,,0.5384,,0.9475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9579,,0.8758,,0.8957,,0.9983,,1.0,,0.9356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6168,0.751,1.0,1.0,0.8806,1.0,0.6251,0.7553,0.3391,0.532,0.7894,0.926,,0.7806,,0.9769,,0.9423,,0.771,,0.633,,0.8765,,0.7247,,1.0,,1.0,,0.7525,,0.3927,,1.0
cty35053,"Socorro County, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8875,0.8714,0.9998,0.9804,0.969,0.9572,0.8429,0.8421,0.7426,0.7493,0.9212,0.9129,0.8889,0.9009,0.975,1.0,0.9505,0.9944,0.846,0.862,0.7503,0.7392,0.9119,0.9424,0.8859,0.8402,1.0,0.9422,0.9953,0.9209,0.8383,0.8152,0.728,0.7394,0.9351,0.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965,0.9736,1.0,0.9693,0.9998,0.9735,0.8693,0.995,0.7416,1.0,0.9463,0.9819,0.9906,0.979,1.0,0.9774,1.0,0.9773,0.9065,0.9768,0.7907,0.9763,0.9687,0.9771,0.9431,0.9679,1.0,0.9368,0.9905,0.9463,0.8727,0.9927,0.7708,1.0,0.9413,0.9641,0.8548,0.8056,0.9905,0.9634,0.9545,0.9198,0.8299,0.7887,0.7689,0.6865,0.9057,0.8632,0.816,0.8439,0.8746,1.0,0.8623,0.9784,0.8121,0.8236,0.7721,0.6711,0.8433,0.9122,0.889,0.757,1.0,0.8989,1.0,0.8654,0.8503,0.749,0.7446,0.6738,0.9882,0.8148,0.7769,,0.598,,0.6521,,0.7665,,0.8946,,0.693,,,,,,,,,,,,,,,,,,,,,,,,,
cty31157,"Scotts Bluff County, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8539,0.9056,0.9416,1.0,0.913,0.9798,0.7956,0.8276,0.7023,0.705,0.8685,0.9213,0.888,0.9064,0.9768,1.0,0.9481,0.9952,0.8256,0.8226,0.7133,0.6628,0.9028,0.9274,0.821,0.9051,0.9052,0.9931,0.8781,0.9671,0.769,0.8385,0.6925,0.7462,0.8363,0.9185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8787,0.9176,0.9226,0.9989,0.9065,0.973,0.8447,0.8402,0.7841,0.7218,0.8812,0.9214,0.9149,0.9239,0.9641,1.0,0.9463,0.9782,0.8741,0.8417,0.7932,0.7075,0.9177,0.9246,0.8443,0.9098,0.8783,0.994,0.8661,0.9679,0.82,0.8403,0.7801,0.7362,0.8468,0.9188,0.7489,0.8566,0.9799,1.0,0.9179,1.0,0.7035,0.7985,0.5985,0.6255,0.834,0.9245,0.7787,0.821,0.9637,1.0,0.92,1.0,0.7407,0.7664,0.5981,0.4804,0.852,0.9327,0.7149,0.8922,0.9671,0.9533,0.8974,0.9362,0.6712,0.8772,0.5691,0.839,0.8044,0.9106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty46129,"Walworth County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8785,0.9105,0.9467,1.0,0.9279,0.9969,0.8512,0.8424,0.7902,0.7179,0.8989,0.9375,0.908,0.9694,0.9029,1.0,0.9045,1.0,0.9114,0.9152,0.9177,0.8137,0.9071,0.9817,0.8524,0.8449,0.9784,1.0,0.9454,0.9878,0.8127,0.7013,0.7196,0.4959,0.8945,0.8796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9042,0.9722,0.8994,0.9773,0.9016,0.9759,0.9103,0.9685,0.9187,0.962,0.9052,0.973,0.9098,0.9974,0.8451,0.9952,0.8658,0.9977,0.9496,1.0,1.0,1.0,0.8991,1.0,0.899,0.9436,0.9383,0.976,0.9264,0.9639,0.8814,0.9047,0.8425,0.8563,0.9076,0.9411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.626,0.4129,0.8851,0.0,0.8204,0.0,0.6834,0.2962,0.5301,0.5888,0.7715,0.0726,,,,,,,,,,,,,,,,,,,,,,,,
cty27029,"Clearwater County, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8594,0.9028,0.9198,1.0,0.9028,1.0,0.8333,0.837,0.778,0.705,0.8765,0.9379,0.8815,0.8935,0.8259,0.9891,0.8407,0.9673,0.9038,0.857,0.9616,0.7547,0.864,0.924,0.8387,0.9096,1.0,1.0,0.9714,1.0,0.7358,0.7997,0.5705,0.6349,0.8811,0.9426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8674,0.908,0.9139,1.0,0.8994,0.9978,0.8436,0.8338,0.7889,0.6876,0.8765,0.934,0.8895,0.8988,0.8315,0.9682,0.8482,0.9528,0.9155,0.8682,0.9911,0.7851,0.8749,0.9197,0.8471,0.9142,1.0,1.0,0.9634,1.0,0.7502,0.7695,0.5657,0.5522,0.8743,0.9333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7672,0.8461,1.0,1.0,1.0,1.0,0.8075,0.8712,0.5578,0.7382,0.9509,0.9728,,,,,,,,,,,,,,,,,,,,,,,,
cty46031,"Corson County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7971,0.9008,0.8017,1.0,0.8018,1.0,0.8023,0.8818,0.8026,0.7278,0.802,0.9995,0.8179,0.9021,0.9192,1.0,0.901,1.0,0.8232,0.8975,0.752,0.7394,0.8722,1.0,0.7738,0.8937,0.5265,1.0,0.5798,0.9946,0.7941,0.8757,0.9445,0.7905,0.662,0.9497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8684,1.0,0.803,0.9906,0.8165,0.9914,0.8684,0.9954,0.9192,0.999,0.8378,0.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6422,0.7209,0.5178,0.9336,0.5534,0.9028,0.6288,0.7502,0.7131,0.6273,0.5803,0.8442,,0.7468,,0.8412,,0.8289,,0.7679,,0.7188,,0.8054,,,,,,,,,,,,
