cz,Name,Incarceration_Rate_rP_gP_pall
cz8501,Fitzgerald,0.0402
cz32801,Waco,0.0366
cz8502,Cordele,0.0343
cz27605,Mission,0.0326
cz25800,Blytheville,0.0316
cz27602,Eagle Butte,0.0312
cz8601,Waycross,0.0307
cz8800,Savannah,0.03
cz31103,Gonzales,0.0293
cz7700,Lake City,0.0292
cz8702,Statesboro,0.0292
cz8701,Hinesville,0.0289
cz10501,Columbus,0.0286
cz9701,Columbus,0.0284
cz10502,Starkville,0.0283
cz5300,West Memphis,0.028
cz30903,Amarillo,0.028
cz33400,Longview,0.028
cz9001,Vidalia,0.0279
cz9200,Griffin,0.0279
cz4002,Shreveport,0.0277
cz9003,Dublin,0.0275
cz32802,Corsicana,0.0275
cz301,Middlesborough,0.0272
cz10301,Eufaula,0.0272
cz10000,Panama City,0.0271
cz8602,Brunswick,0.0269
cz8402,Washington,0.0268
cz8503,Valdosta,0.0268
cz402,Martinsville,0.0267
cz4800,Greenville,0.0266
cz10101,Bainbridge,0.0266
cz33300,Tyler,0.0266
cz34307,Colstrip,0.0265
cz4701,Greenwood,0.0264
cz33902,Sherman,0.0264
cz4902,Dyersburg,0.0262
cz30802,Lubbock,0.0262
cz3901,Monroe,0.0261
cz31304,Mason,0.0259
cz30908,Plainview,0.0258
cz33200,Paris,0.0257
cz31800,College Station,0.0255
cz5202,Memphis,0.0252
cz32401,Big Spring,0.0251
cz4102,Pine Bluff,0.0248
cz2000,Virginia Beach,0.0247
cz10400,Meridian,0.0247
cz31501,Crystal City,0.0247
cz4004,Many,0.0243
cz2200,South Boston,0.0242
cz7800,Ocala,0.024
cz9002,Milledgeville,0.024
cz1301,Bennettsville,0.0238
cz3002,Yazoo City,0.0237
cz31302,Beeville,0.0236
cz27704,Gordon,0.0234
cz12600,Wayne,0.0233
cz33603,Frederick,0.0229
cz3201,Jena,0.0229
cz7600,Jacksonville,0.0228
cz7900,Gainesville,0.0228
cz9900,Tallahassee,0.0228
cz32202,Nacogdoches,0.0228
cz32900,Killeen,0.0228
cz4103,El Dorado,0.0227
cz6600,Rome,0.0227
cz8201,Barnwell,0.0227
cz30902,Littlefield,0.0227
cz32100,Beaumont,0.0227
cz31101,Victoria,0.0223
cz32701,Brownwood,0.0223
cz28703,Granby,0.0223
cz10200,Albany,0.0222
cz32201,Huntsville,0.0222
cz33500,Texarkana,0.0221
cz4901,Jackson,0.022
cz8401,Aiken,0.0217
cz4702,Clarksdale,0.0216
cz19901,Dover,0.0216
cz2500,Newport News,0.0215
cz32301,San Angelo,0.0215
cz2600,Roanoke Rapids,0.0212
cz31700,Corpus Christi,0.0212
cz2400,Richmond,0.0211
cz35002,Safford,0.0211
cz200,Morristown,0.021
cz3600,Alexandria,0.021
cz9500,Talladega,0.0209
cz11101,Montgomery,0.0209
cz8202,Charleston,0.0208
cz9702,Americus,0.0208
cz28502,Pueblo,0.0208
cz11303,Colonial Beach,0.0207
cz3300,New Orleans,0.0206
cz6800,Lakeland,0.0206
cz32304,Uvalde,0.0206
cz3101,McComb,0.0204
cz26603,East Corson UT,0.0204
cz33100,Dallas,0.0203
cz1702,Henderson,0.0202
cz8100,Columbia,0.0202
cz1302,Florence,0.0201
cz4003,Ruston,0.0201
cz6900,Sarasota,0.02
cz30605,Van Horn,0.02
cz32602,Graham,0.0199
cz700,Spartanburg,0.0198
cz9600,LaGrange,0.0198
cz5600,Nashville,0.0196
cz11102,Troy,0.0196
cz1500,Wilmington,0.0195
cz4301,Stuttgart,0.0195
cz9800,Auburn,0.0195
cz3500,Baton Rouge,0.0194
cz7100,Port St. Lucie,0.0194
cz4101,Crossett,0.0193
cz8900,Macon,0.0193
cz32501,Abilene,0.0193
cz5000,Tupelo,0.0192
cz2300,Lynchburg,0.0191
cz7300,Palm Bay,0.0191
cz9301,Winder,0.0191
cz17600,Charlottesville,0.0191
cz34803,Tucumcari,0.0191
cz3003,Jackson,0.019
cz4200,Little Rock,0.019
cz6301,McMinnville,0.019
cz6302,Cookeville,0.019
cz9302,Toccoa,0.019
cz10102,Thomasville,0.019
cz19903,Chincoteague,0.019
cz32305,Del Rio,0.019
cz3202,Natchez,0.0189
cz9100,Atlanta,0.0189
cz25702,Poplar Bluff,0.0189
cz30907,Matador,0.0187
cz1400,Fayetteville,0.0186
cz19800,Wilmington,0.0186
cz31007,Dumas,0.0186
